slug,uid,company,jobs,israel_jobs,reason
innovaderm,15.003,Indero,63,0,"no Israel-relevant postings in a target job family (63 on board, 0 Israel-relevant)"
innovativeskincare,59.00F,Innovative Skincare,9,0,"no Israel-relevant postings in a target job family (9 on board, 0 Israel-relevant)"
inspira,57.006,,0,0,no token for this slug/uid pair
inspiredhr,7A.008,Inspired HR,39,0,"no Israel-relevant postings in a target job family (39 on board, 0 Israel-relevant)"
intuitionrobotics,B3.00B,Intuition Robotics,5,0,"no Israel-relevant postings in a target job family (5 on board, 0 Israel-relevant)"
itsolutions,B2.00F,IT Solutions Consulting LLC,47,0,"no Israel-relevant postings in a target job family (47 on board, 0 Israel-relevant)"
keter-north-america,E3.001,Keter North America,14,0,"no Israel-relevant postings in a target job family (14 on board, 0 Israel-relevant)"
knostic,0A.007,,0,0,board is empty
lakecomm911,2B.005,Lake Consolidated Emergency Communications,2,0,"no Israel-relevant postings in a target job family (2 on board, 0 Israel-relevant)"
ledgebrook,D9.006,Ledgebrook,28,0,"no Israel-relevant postings in a target job family (28 on board, 0 Israel-relevant)"
levl,C4.005,CUJO AI,9,0,"no Israel-relevant postings in a target job family (9 on board, 0 Israel-relevant)"
lili,A6.009,,0,0,board is empty
maoz_il,19.00C,,0,0,board is empty
matrix-ifs,19.00F,Matrix Global,23,0,"no Israel-relevant postings in a target job family (23 on board, 0 Israel-relevant)"
mcfarlandcity,7A.002,,0,0,board is empty
medicalreviewinstituteofamerica,39.004,MRIoA,24,16,no PHYSICAL Israeli posting - all 15 on-family roles are bare-remote at a foreign employer
medvidi,2A.003,Medvidi,60,1,no PHYSICAL Israeli posting - all 1 on-family roles are bare-remote at a foreign employer
metalbear,8A.002,MetalBear,2,0,"no Israel-relevant postings in a target job family (2 on board, 0 Israel-relevant)"
milpower,D4.00B,Milpower Source,2,0,"no Israel-relevant postings in a target job family (2 on board, 0 Israel-relevant)"
minerva,3A.007,Minerva University,3,0,"no Israel-relevant postings in a target job family (3 on board, 0 Israel-relevant)"
mitrelli,F6.008,Mitrelli,25,1,"no Israel-relevant postings in a target job family (25 on board, 1 Israel-relevant)"
monday,41.00B,,0,0,board is empty
morphisec,65.00C,,0,0,board is empty
mrioa,39.004,MRIoA,24,16,no PHYSICAL Israeli posting - all 15 on-family roles are bare-remote at a foreign employer
nationalmathcamps,F9.002,National Math Camps,4,0,"no Israel-relevant postings in a target job family (4 on board, 0 Israel-relevant)"
neusecharterschool,CA.007,Neuse Charter School,1,0,"no Israel-relevant postings in a target job family (1 on board, 0 Israel-relevant)"
nominal,E8.003,Nominal,4,0,"no Israel-relevant postings in a target job family (4 on board, 0 Israel-relevant)"
noname,86.001,,0,0,no token for this slug/uid pair
octup,4A.003,,0,0,board is empty
onebeat,0A.000,onebeat,3,0,"no Israel-relevant postings in a target job family (3 on board, 0 Israel-relevant)"
oscarmike,55.00E,,0,0,no token for this slug/uid pair
outerbox,49.00D,OuterBox,9,9,no PHYSICAL Israeli posting - all 6 on-family roles are bare-remote at a foreign employer
paharainstitute,6A.007,,0,0,no token for this slug/uid pair
parcelly,08.00D,,0,0,no token for this slug/uid pair
paymentology,38.007,,0,0,no token for this slug/uid pair
pinnaclehomecare,1B.00E,Pinnacle Home Care,150,0,"no Israel-relevant postings in a target job family (150 on board, 0 Israel-relevant)"
plumbingsolutionsllc,BA.002,Plumbing Solutions LLC,20,0,"no Israel-relevant postings in a target job family (20 on board, 0 Israel-relevant)"
ppcr,0A.008,Pro-Claim Group,19,0,"no Israel-relevant postings in a target job family (19 on board, 0 Israel-relevant)"
ptc,32.005,,0,0,no token for this slug/uid pair
pushoperations,3A.006,Push Operations,13,0,"no Israel-relevant postings in a target job family (13 on board, 0 Israel-relevant)"
quris,17.000,,0,0,board is empty
redefinemeat,28.004,Redefine Meat,3,0,"no Israel-relevant postings in a target job family (3 on board, 0 Israel-relevant)"
rekor,96.007,,0,0,no token for this slug/uid pair
resolvglobal,BA.006,Resolv.Global,169,1,no PHYSICAL Israeli posting - all 1 on-family roles are bare-remote at a foreign employer
rewire,34.00D,,0,0,board is empty
rocoto,50.00C,Rocoto,1,0,"no Israel-relevant postings in a target job family (1 on board, 0 Israel-relevant)"
roiagency,CA.00A,ROI Agency,108,2,no PHYSICAL Israeli posting - all 2 on-family roles are bare-remote at a foreign employer
sansartecllc,F9.00E,,0,0,no token for this slug/uid pair
sequoiaconnect,45.004,Sequoia Connect,161,0,"no Israel-relevant postings in a target job family (161 on board, 0 Israel-relevant)"
seraphicsecurity,0A.009,,0,0,no token for this slug/uid pair
sgr,1B.008,SGR,24,0,"no Israel-relevant postings in a target job family (24 on board, 0 Israel-relevant)"
sightful,26.00D,,0,0,no token for this slug/uid pair
silvalininghr,DA.005,Silva-Lining HR,4,2,no PHYSICAL Israeli posting - all 1 on-family roles are bare-remote at a foreign employer
snapscale,C9.006,Snapscale,59,0,"no Israel-relevant postings in a target job family (59 on board, 0 Israel-relevant)"
sorbet,17.002,,0,0,no token for this slug/uid pair
spark-hire,30.005,,0,0,board is empty
sparsolutions,89.00A,SPAR Solutions,8,0,"no Israel-relevant postings in a target job family (8 on board, 0 Israel-relevant)"
spinframe,C9.000,,0,0,no token for this slug/uid pair
starkware,C6.00E,,0,0,board is empty
supercom,46.00A,Supercom,2,1,"no Israel-relevant postings in a target job family (2 on board, 1 Israel-relevant)"
tabnine,39.006,,0,0,board is empty
tango,B7.007,Tango,20,1,"no Israel-relevant postings in a target job family (20 on board, 1 Israel-relevant)"
teambuilderrecruiting,45.003,Team Builder Recruiting,51,0,"no Israel-relevant postings in a target job family (51 on board, 0 Israel-relevant)"
teamwork,F6.005,Teamwork.com,5,2,"no Israel-relevant postings in a target job family (5 on board, 2 Israel-relevant)"
tencyle,59.00A,,0,0,no token for this slug/uid pair
thesandbox,57.008,,0,0,no token for this slug/uid pair
toloka,98.00B,,0,0,no token for this slug/uid pair
tripleten,98.008,TripleTen,327,2,"no Israel-relevant postings in a target job family (327 on board, 2 Israel-relevant)"
vertuagent,D9.00D,Vertu Agent,33,0,"no Israel-relevant postings in a target job family (33 on board, 0 Israel-relevant)"
vetric,A9.009,Vetric,2,1,"no Israel-relevant postings in a target job family (2 on board, 1 Israel-relevant)"
visanahealth,0B.008,Visana Health,7,0,"no Israel-relevant postings in a target job family (7 on board, 0 Israel-relevant)"
wonderful,7A.004,,0,0,no token for this slug/uid pair
yinzcam,2A.008,YinzCam Inc.,9,0,"no Israel-relevant postings in a target job family (9 on board, 0 Israel-relevant)"
zafran_io,49.009,,0,0,no token for this slug/uid pair
